time_min,oxygen,glucose,lactate,ECM,TGF_beta,IFN_gamma,Gal8_ext
7920,14.483652081617807,0.6877791155781585,6.944679604609106,1.5868857389707043,0.0832384670226001,0.020528769597177584,9.076e-321
7980,14.493586442357739,0.6879421482279082,6.944052025720228,1.5898652981610306,0.08250372030808385,0.020506053533809066,9.076e-321
8040,14.494068644016053,0.6881080575994987,6.9430820210649715,1.591837381501824,0.08272241108858912,0.021105827198167965,9.076e-321
8100,14.497968268547135,0.6876775048814253,6.939738102931611,1.593925168788926,0.08201629747714205,0.02092636868294032,9.076e-321
8160,14.4980598320957,0.6873373688529968,6.940028255087376,1.5949837785064969,0.0814546272385246,0.02080892188212999,9.076e-321
8220,14.482722265604554,0.6871458467376119,6.94401680821446,1.5969949821953955,0.08159661472748468,0.020760834612258718,9.076e-321
8280,14.464822117988213,0.6862759903182291,6.949141192292342,1.6031860575898946,0.0820784492053693,0.02068158524535806,9.076e-321
8340,14.446074918332835,0.6854938275588458,6.9550059370744215,1.6054882249194924,0.08225235069114314,0.020666603141535986,9.076e-321
8400,14.473928512124555,0.6860470881695717,6.96034868932704,1.6089527589797983,0.0812544658467317,0.020659266729806294,9.076e-321
8460,14.510270598825825,0.6864206209108012,6.9606373439909905,1.6108590967816265,0.08060533597070475,0.020655409383685167,9.076e-321
8520,14.49639294666135,0.685605083947076,6.96252548453726,1.6123902412918127,0.08184228318490044,0.020583156620034213,9.076e-321
8580,14.49859436298857,0.6855916142874681,6.961738619686971,1.6177382264619056,0.08120492993227486,0.020624855899392634,9.076e-321
8640,14.489358746269257,0.6845269438267002,6.968733444877405,1.6208366796436326,0.08212456618400713,0.0207118765132475,9.076e-321
8700,14.464844862238705,0.6833741250316376,6.974302943544311,1.6208548572443817,0.08149896724054254,0.020821614570856056,9.076e-321
8760,14.457674241453937,0.6828789575549045,6.9783726280732195,1.6228139117157172,0.08125300737855863,0.020810691682673216,9.076e-321
8820,14.469382788273538,0.6830176839492548,6.975956089188857,1.6246454171355835,0.08039474357729899,0.020835350806001546,9.076e-321
8880,14.453195252626733,0.6827452787949841,6.972326339503092,1.6262055302259986,0.08043582996714257,0.020821804102539483,9.076e-321
8940,14.406627607240063,0.6818158609867868,6.9723048666762475,1.6294421922283948,0.07972292486933046,0.020834000071084713,9.076e-321
9000,14.38958084045662,0.6807702788476073,6.978096663734618,1.6333332931103826,0.08015322324917733,0.020798254547399354,9.076e-321
9060,14.323578143607365,0.6786116069556045,6.983281930882904,1.6345918204134613,0.07948445185806503,0.020826121468893215,9.076e-321
9120,14.294804567859037,0.6775909759289239,6.990883568227902,1.6414461516657142,0.08001472847090405,0.020823192356676,9.076e-321
9180,14.270464202432768,0.6765667539029064,7.004436828622772,1.6434447357750204,0.0807223161496933,0.020810330194371146,9.076e-321
9240,14.281881913925465,0.6767132104065431,7.008777093013322,1.6435605044528743,0.08161267512221984,0.020887552030606202,9.076e-321
9300,14.259783321044978,0.6759931469332195,7.012782098742222,1.646376814960352,0.08150741266519447,0.020858075072429084,9.076e-321
9360,14.259723305707233,0.6754811650994754,7.017435940207551,1.6495721848356348,0.0812141180683514,0.020837952994599163,9.076e-321
9420,14.234336575258972,0.6748060712560239,7.023682005881601,1.6525731976564912,0.08129496041074245,0.020817502210965875,9.076e-321
9480,14.31589648139657,0.6763168302500421,7.0260947439733314,1.659257979130178,0.08098364669161458,0.020797166175528035,9.076e-321
9540,14.31175195076424,0.6766478042935927,7.014698837063511,1.6623075374226512,0.08102658491471933,0.02083274994064371,9.076e-321
9600,14.338592204778077,0.6773673545041463,7.0028252912100015,1.6636953637734675,0.07997922334052072,0.02081326929467013,9.076e-321
9660,14.35650954787187,0.6775370582950715,6.995674251255655,1.667569438954982,0.08008440887816212,0.020814992635233953,9.076e-321
9720,14.344037138293375,0.6773710161953412,6.993918256181253,1.6700297110211515,0.08191326239026188,0.020804195079469515,9.076e-321
9780,14.350742854395712,0.677795185199772,6.997428801741064,1.6729360368218273,0.08252050520103689,0.02078919992268545,9.076e-321
9840,14.35197584227719,0.6776090892416176,7.002185692053454,1.6751620493069221,0.08253109016072137,0.020809295835729043,9.076e-321
9900,14.323056908188347,0.6766047311185793,7.007917700666565,1.6800017176545043,0.0826853723392212,0.021518079530481276,9.076e-321
9960,14.310731942925491,0.6758072805037016,7.016017797113148,1.6809843970469727,0.08198070470569072,0.021243616209486546,9.076e-321
