x,y,z,type
263.351357,-34.238644,0.000000,PD-L1lo_tumor
-429.808454,62.822242,0.000000,fixed_vessel_source
102.898303,75.285629,0.000000,PD-L1lo_tumor
105.142567,-12.739852,0.000000,PD-L1lo_tumor
-259.550778,112.479447,0.000000,PD-L1lo_tumor
301.404004,74.072291,0.000000,PD-L1lo_tumor
220.986428,-208.299167,0.000000,PD-L1lo_tumor
-29.648031,313.166394,0.000000,PD-L1lo_tumor
288.303259,80.507075,0.000000,PD-L1lo_tumor
230.343315,122.772689,0.000000,PD-L1lo_tumor
-8.641431,-297.921087,0.000000,PD-L1lo_tumor
-114.639898,168.534571,0.000000,PD-L1lo_tumor
-347.438134,109.262920,0.000000,PD-L1lo_tumor
40.952841,-345.981015,0.000000,PD-L1lo_tumor
365.822913,206.392314,0.000000,PD-L1lo_tumor
-97.598634,-287.363786,0.000000,PD-L1lo_tumor
206.045696,-149.373177,0.000000,PD-L1lo_tumor
-197.282097,48.647840,0.000000,PD-L1lo_tumor
192.173662,-156.820215,0.000000,PD-L1lo_tumor
364.890243,109.896988,0.000000,PD-L1lo_tumor
-40.844353,-119.919911,0.000000,PD-L1lo_tumor
260.219818,-265.042686,0.000000,PD-L1lo_tumor
-263.582429,-148.570166,0.000000,PD-L1lo_tumor
75.425898,-168.530653,0.000000,PD-L1lo_tumor
-387.821707,-400.707481,0.000000,fixed_vessel_source
-163.711460,-175.535429,0.000000,PD-L1lo_tumor
31.174377,-131.311067,0.000000,PD-L1lo_tumor
-154.236123,-146.255186,0.000000,PD-L1lo_tumor
-267.474105,78.902192,0.000000,PD-L1lo_tumor
-97.888476,-26.496300,0.000000,PD-L1lo_tumor
-71.178772,97.809522,0.000000,PD-L1lo_tumor
14.584523,-335.644095,0.000000,PD-L1lo_tumor
228.866824,-22.428436,0.000000,PD-L1lo_tumor
-314.750793,-55.618949,0.000000,PD-L1lo_tumor
260.896925,150.956017,0.000000,PD-L1lo_tumor
-379.467807,-33.936200,0.000000,PD-L1lo_tumor
-118.445067,-130.938468,0.000000,PD-L1lo_tumor
25.482972,358.983952,0.000000,PD-L1lo_tumor
360.128747,25.136637,0.000000,PD-L1lo_tumor
209.792872,-68.315885,0.000000,PD-L1lo_tumor
301.498453,129.537633,0.000000,PD-L1lo_tumor
-170.201719,-18.686907,0.000000,PD-L1lo_tumor
-396.366487,-35.928896,0.000000,fixed_vessel_source
-9.532779,-226.750705,0.000000,PD-L1lo_tumor
41.761630,138.156808,0.000000,PD-L1lo_tumor
361.882043,51.633344,0.000000,PD-L1lo_tumor
-597.672151,307.838083,0.000000,fixed_vessel_source
-36.748014,86.393765,0.000000,PD-L1lo_tumor
147.003423,-376.981862,0.000000,PD-L1lo_tumor
-198.942272,73.492013,0.000000,PD-L1lo_tumor
-74.453797,-16.850240,0.000000,PD-L1lo_tumor
-286.102706,119.307679,0.000000,PD-L1lo_tumor
-155.097377,198.350443,0.000000,PD-L1lo_tumor
-89.541084,359.314870,0.000000,PD-L1lo_tumor
316.544253,-111.937218,0.000000,PD-L1lo_tumor
-271.855700,-251.739563,0.000000,PD-L1lo_tumor
-199.601999,115.383180,0.000000,PD-L1lo_tumor
343.267459,261.415893,0.000000,fixed_vessel_source
39.065148,366.306745,0.000000,PD-L1lo_tumor
95.240868,196.385506,0.000000,PD-L1lo_tumor
100.881345,277.637792,0.000000,PD-L1lo_tumor
71.902599,138.458193,0.000000,PD-L1lo_tumor
-91.698861,333.864703,0.000000,PD-L1lo_tumor
-86.558844,374.126623,0.000000,PD-L1lo_tumor
199.564649,-259.683399,0.000000,PD-L1lo_tumor
-255.789464,127.728546,0.000000,PD-L1lo_tumor
-286.297819,-124.566584,0.000000,PD-L1lo_tumor
-89.858123,-300.670253,0.000000,PD-L1lo_tumor
160.783113,157.364933,0.000000,PD-L1lo_tumor
-114.592890,376.138418,0.000000,PD-L1lo_tumor
-50.598158,-261.968501,0.000000,PD-L1lo_tumor
270.463130,-5.027685,0.000000,PD-L1lo_tumor
337.432173,-48.661668,0.000000,PD-L1lo_tumor
-96.617302,-261.545867,0.000000,PD-L1lo_tumor
-62.595721,-14.005377,0.000000,PD-L1lo_tumor
91.399563,-88.710594,0.000000,PD-L1lo_tumor
85.060474,-181.342984,0.000000,PD-L1lo_tumor
-345.266403,137.664998,0.000000,PD-L1lo_tumor
